Title,Link,Price
MSI Ventus GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 Video Card RTX 4080 16GB VENTUS 3X,https://www.newegg.ca/msi-geforce-rtx-4080-rtx-4080-16gb-ventus-3x/p/N82E16814137768,1799.99
MSI Gaming GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 Video Card RTX 4080 16GB GAMING TRIO,https://www.newegg.ca/msi-geforce-rtx-4080-rtx-4080-16gb-gaming-trio-a/p/N82E16814137775,1799.99
MSI Gaming GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 ATX Video Card RTX 4080 16GB GAMING X TRIO WHITE,https://www.newegg.ca/msi-geforce-rtx-4080-rtx-4080-16gb-gaming-x-trio-white/p/N82E16814137784,1899.99
"ASUS ROG Strix GeForce RTX 4080 Gaming Graphics Card (PCIe 4.0, 16GB GDDR6X, HDMI 2.1a, DisplayPort 1.4a) ROG-STRIX-RTX4080-16G-GAMING",https://www.newegg.ca/asus-geforce-rtx-4080-rog-strix-rtx4080-16g-gaming/p/N82E16814126601,1989.99
GIGABYTE AORUS GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 ATX Video Card GV-N4080AORUSX W-16GD,https://www.newegg.ca/gigabyte-geforce-rtx-4080-gv-n4080aorusx-w-16gd/p/N82E16814932558,1999.99
MSI Suprim GeForce RTX 4070 Ti 12GB GDDR6X PCI Express 4.0 Video Card RTX 4070 Ti SUPRIM 12G,https://www.newegg.ca/msi-geforce-rtx-4070-ti-rtx-4070-ti-suprim-12g/p/N82E16814137777,1999.99
"ASUS ROG Strix GeForce RTX 4080 OC Edition Gaming Graphics Card (PCIe 4.0, 16GB GDDR6X, HDMI 2.1a, DisplayPort 1.4a) ROG-STRIX-RTX4080-O16G-GAMING",https://www.newegg.ca/asus-geforce-rtx-4080-rog-strix-rtx4080-o16g-gaming/p/N82E16814126597,2099.99
"ZOTAC GAMING GeForce RTX 4090 Trinity OC DLSS 3 24GB GDDR6X 384-bit 21 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 3.0 Advanced Cooling, SPECTRA 2.0 RGB Lighting, ZT-D40900J-10P",https://www.newegg.ca/zotac-geforce-rtx-4090-zt-d40900j-10p/p/N82E16814500540,2149.99
"ASUS ROG Strix GeForce RTX 4080 White OC Edition Gaming Graphics Card (PCIe 4.0, 16GB GDDR6X, HDMI 2.1a, DisplayPort 1.4a) ROG-STRIX-RTX4080-O16G-WHITE",https://www.newegg.ca/asus-geforce-rtx-4080-rog-strix-rtx4080-o16g-white/p/N82E16814126618,2149.99
MSI Gaming GeForce RTX 4090 24GB GDDR6X PCI Express 4.0 Video Card RTX 4090 GAMING TRIO 24G,https://www.newegg.ca/msi-geforce-rtx-4090-rtx-4090-gaming-trio-24g/p/N82E16814137762,2159.99
"ZOTAC GAMING GeForce RTX 4090 AMP Extreme AIRO DLSS 3 24GB GDDR6X 384-bit 21 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 3.0 Advanced Cooling, SPECTRA 2.0 RGB Lighting, ZT-D40900B-10P",https://www.newegg.ca/zotac-geforce-rtx-4090-zt-d40900b-10p/p/N82E16814500538,2199.99
"ASUS ROG Strix GeForce RTX 4080 White Edition Gaming Graphics Card (PCIe 4.0, 16GB GDDR6X, HDMI 2.1a, DisplayPort 1.4a) ROG-STRIX-RTX4080-16G-WHITE",https://www.newegg.ca/asus-geforce-rtx-4080-rog-strix-rtx4080-16g-white/p/N82E16814126619,2199.99
GIGABYTE Gaming GeForce RTX 4090 24GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N4090GAMING OC-24GD,https://www.newegg.ca/gigabyte-geforce-rtx-4090-gv-n4090gaming-oc-24gd/p/N82E16814932550,2249.99
"GIGABYTE GeForce RTX 4090 WINDFORCE V2 24G Graphics Card, 3x WINDFORCE Fans, 24GB 384-bit GDDR6X, GV-N4090WF3V2-24GD Video Card",https://www.newegg.ca/gigabyte-geforce-rtx-4090-gv-n4090wf3v2-24gd/p/N82E16814932625,2249.99
MSI Gaming GeForce RTX 4090 24GB GDDR6X PCI Express 4.0 Video Card RTX 4090 GAMING X TRIO 24G,https://www.newegg.ca/msi-geforce-rtx-4090-rtx-4090-gaming-x-trio-24g/p/N82E16814137761,2249.99
"ASUS GeForce RTX 4080 16GB GDDR6X Noctua OC Edition (PCIe 4.0, 16GB GDDR6X, DLSS 3, HDMI 2.1a, DisplayPort 1.4a, Noctua NF-A12x25 PWM fans, optimized vapor chamber, GPU Tweak III) RTX4080-O16G-NOCTUA",https://www.newegg.ca/asus-geforce-rtx-4080-rtx4080-o16g-noctua/p/N82E16814126636,2299.99
